(10*1),temp=81.8'C
(10*2),temp=81.3'C
(10*3),temp=81.3'C
(10*4),temp=80.8'C
(10*5),temp=81.8'C
(10*6),temp=80.8'C
(10*7),temp=81.3'C
(10*8),temp=81.8'C
(10*9),temp=82.3'C
(10*10),temp=81.3'C
(10*11),temp=81.3'C
(10*12),temp=81.3'C
(10*13),temp=81.8'C
(10*14),temp=82.3'C
(10*15),temp=81.8'C
(10*16),temp=81.8'C
(10*17),temp=80.8'C
(10*18),temp=81.8'C
(10*19),temp=80.8'C
(10*20),temp=81.8'C
(10*21),temp=82.3'C
(10*22),temp=81.3'C
(10*23),temp=81.3'C
(10*24),temp=81.3'C
(10*25),temp=81.8'C
(10*26),temp=81.8'C
(10*27),temp=82.3'C
(10*28),temp=82.3'C
(10*29),temp=81.3'C
(10*30),temp=81.8'C
(10*31),temp=82.3'C
(10*32),temp=82.3'C
(10*33),temp=81.8'C
(10*34),temp=80.8'C
(10*35),temp=82.7'C
(10*36),temp=81.8'C
(10*37),temp=82.3'C
(10*38),temp=81.3'C
(10*39),temp=82.3'C
(10*40),temp=81.3'C
(10*41),temp=81.3'C
(10*42),temp=81.3'C
(10*43),temp=82.7'C
(10*44),temp=81.8'C
(10*45),temp=82.7'C
(10*46),temp=81.8'C
(10*47),temp=81.8'C
(10*48),temp=82.3'C
(10*49),temp=82.7'C
(10*50),temp=82.7'C
(10*51),temp=82.3'C
(10*52),temp=82.3'C
(10*53),temp=82.3'C
(10*54),temp=81.8'C
(10*55),temp=81.8'C
(10*56),temp=82.3'C
(10*57),temp=82.7'C
(10*58),temp=82.3'C
(10*59),temp=82.3'C
(10*60),temp=83.2'C
(10*61),temp=82.3'C
(10*62),temp=82.3'C
(10*63),temp=81.8'C
(10*64),temp=82.7'C
(10*65),temp=82.7'C
(10*66),temp=82.7'C
(10*67),temp=83.2'C
(10*68),temp=82.3'C
(10*69),temp=81.3'C
(10*70),temp=83.2'C
(10*71),temp=82.7'C
(10*72),temp=82.3'C
(10*73),temp=82.3'C
(10*74),temp=82.7'C
(10*75),temp=83.2'C
(10*76),temp=82.3'C
(10*77),temp=83.2'C
(10*78),temp=82.7'C
(10*79),temp=83.7'C
(10*80),temp=82.7'C
(10*81),temp=82.7'C
(10*82),temp=82.7'C
(10*83),temp=82.3'C
(10*84),temp=82.3'C
(10*85),temp=81.8'C
(10*86),temp=81.8'C
(10*87),temp=82.3'C
(10*88),temp=83.2'C
(10*89),temp=82.3'C
(10*90),temp=82.7'C
(10*91),temp=81.8'C
(10*92),temp=82.3'C
(10*93),temp=82.7'C
(10*94),temp=82.7'C
(10*95),temp=82.7'C
(10*96),temp=83.2'C
(10*97),temp=83.2'C
(10*98),temp=83.7'C
(10*99),temp=82.7'C
(10*100),temp=83.7'C
